cluster_name,外向社交,尽责自律,情绪稳定,开放好奇,宜人友善
尽责自律·宜人友善型,-0.874,0.257,-0.607,-0.348,-0.121
开放好奇·宜人友善型,0.545,0.493,-0.033,0.797,0.695
情绪稳定·外向社交型,0.215,-0.747,0.58,-0.522,-0.619
