cluster_name,电子舞曲,拉丁,流行,R&B,说唱,摇滚
尽责自律·宜人友善型,-0.162,-0.134,0.018,-0.213,-0.234,-0.105
开放好奇·宜人友善型,0.118,0.461,0.102,0.331,0.025,0.18
情绪稳定·外向社交型,0.044,-0.327,-0.12,-0.118,0.208,-0.075
