,重要性
release_year,0.1297
loudness,0.08832
energy,0.07816
duration_ms,0.07748
instrumentalness,0.07571
tempo,0.07304
acousticness,0.07208
danceability,0.07056
valence,0.06934
speechiness,0.06747
liveness,0.06709
流派_edm,0.05052
key,0.03407
流派_pop,0.01169
流派_r&b,0.01071
mode,0.00788
流派_rock,0.00765
流派_rap,0.00471
流派_latin,0.00381
