cluster_name,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
尽责自律·宜人友善型,2.948,2.179,2.078,2.87,2.591,3.49,3.692,2.279,2.412,2.669,2.552,2.529,2.929,2.679,2.698,2.162,2.042
开放好奇·宜人友善型,3.262,2.616,2.295,3.357,3.242,3.574,3.891,2.396,2.549,2.928,2.986,3.184,3.476,3.103,3.292,2.409,2.56
情绪稳定·外向社交型,3.105,2.041,1.983,2.615,2.414,3.353,3.694,2.397,2.388,3.111,2.743,2.528,2.98,2.679,2.504,2.417,1.787
