,重要性
Adrenaline sports,0.05451
Art exhibitions,0.05238
Theatre,0.0427
Dancing,0.04089
Height,0.03175
Fun with friends,0.03138
Weight,0.02983
Musical instruments,0.02563
Charity,0.02528
Reading,0.02522
Foreign languages,0.02517
Psychology,0.02257
Writing,0.02236
Romantic,0.02056
Gender_male,0.02049
