性格画像,问卷流派,相对偏好,可映射歌手
尽责自律·宜人友善型,流行,0.02,是
尽责自律·宜人友善型,朋克,-0.04,是
尽责自律·宜人友善型,乡村,-0.04,否(Spotify无此流派)
尽责自律·宜人友善型,摇滚,-0.07,是
尽责自律·宜人友善型,金属/硬摇,-0.08,是
开放好奇·宜人友善型,音乐剧,0.48,否(Spotify无此流派)
开放好奇·宜人友善型,拉丁,0.45,是
开放好奇·宜人友善型,爵士,0.42,是
开放好奇·宜人友善型,歌剧,0.42,否(Spotify无此流派)
开放好奇·宜人友善型,古典,0.4,否(Spotify无此流派)
情绪稳定·外向社交型,嘻哈/说唱,0.2,是
情绪稳定·外向社交型,电音,0.08,是
情绪稳定·外向社交型,金属/硬摇,0.04,是
情绪稳定·外向社交型,舞曲,-0.01,是
情绪稳定·外向社交型,雷鬼,-0.03,是
