,重要性
release_year,0.12944
loudness,0.08598
duration_ms,0.07852
energy,0.0774
tempo,0.07534
acousticness,0.07228
instrumentalness,0.07142
speechiness,0.07043
danceability,0.06957
valence,0.06803
liveness,0.06695
genre_edm,0.05225
key,0.03345
genre_pop,0.01119
genre_r&b,0.01111
