cluster_name,人数,平均年龄,女性占比,城市占比
尽责自律·宜人友善型,308,20.5,0.69,0.69
开放好奇·宜人友善型,359,20.69,0.73,0.69
情绪稳定·外向社交型,343,20.1,0.36,0.73
