genre_cn,歌曲数,去重歌曲数,歌手数,平均流行度
电子舞曲,6043,5537,2516,34.83
说唱,5746,5486,2196,43.22
流行,5507,5132,2488,47.74
R&B,5431,5138,2171,41.22
拉丁,5155,4641,2229,47.03
摇滚,4951,4451,1573,41.73
