流派,H统计量,p值,显著(p<0.05)
音乐剧,82.187261,0.0,是
歌剧,77.611374,0.0,是
拉丁,65.161149,0.0,是
爵士,61.838069,0.0,是
古典,61.77836,0.0,是
民谣,47.862045,0.0,是
摇滚乐,41.992045,0.0,是
另类,22.4478,1.3e-05,是
雷鬼,20.630574,3.3e-05,是
嘻哈/说唱,16.80462,0.000224,是
乡村,12.981649,0.001517,是
舞曲,10.399764,0.005517,是
电音,8.480488,0.014404,是
摇滚,8.075771,0.017635,是
流行,6.145885,0.046285,是
朋克,2.841403,0.241545,否
金属/硬摇,1.725017,0.422102,否
