cluster_name,电子舞曲,拉丁,流行,R&B,说唱,摇滚
尽责自律·宜人友善型,2.555,2.698,3.49,2.541,2.669,2.798
开放好奇·宜人友善型,2.836,3.292,3.574,3.085,2.928,3.083
情绪稳定·外向社交型,2.761,2.504,3.353,2.636,3.111,2.827
