cluster_name,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
尽责自律·宜人友善型,-0.165,-0.109,-0.045,-0.086,-0.171,0.017,-0.072,-0.081,-0.04,-0.242,-0.219,-0.232,-0.212,-0.151,-0.146,-0.174,-0.097
开放好奇·宜人友善型,0.149,0.328,0.172,0.4,0.48,0.101,0.128,0.035,0.096,0.017,0.215,0.422,0.336,0.273,0.449,0.073,0.42
情绪稳定·外向社交型,-0.008,-0.246,-0.14,-0.341,-0.348,-0.12,-0.069,0.036,-0.065,0.2,-0.028,-0.234,-0.161,-0.15,-0.339,0.08,-0.352
