,与流行度相关系数
duration_ms,-0.1397
instrumentalness,-0.1244
energy,-0.1036
liveness,-0.0528
key,-0.0081
tempo,0.0044
speechiness,0.0052
mode,0.0163
valence,0.0226
loudness,0.0373
danceability,0.0466
acousticness,0.0917
