模型,特征集,R2,RMSE,MAE
线性回归(仅音频+年份),仅音频+年份,0.057,23.016,19.2645
随机森林(仅音频+年份),仅音频+年份,0.1351,22.0433,18.2808
线性回归(音频+年份+流派),音频+年份+流派,0.0874,22.6423,18.9107
随机森林(音频+年份+流派),音频+年份+流派,0.1729,21.5559,17.7617
