歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
Semser,19,edm,15.684,19,2018.0,0.697,0.752,0.381,0.09,0.664,0.171,0.1,电子舞曲
Gregor Salto,7,latin,15.571,37,2014.0,0.821,0.824,0.497,0.059,0.388,0.087,0.075,拉丁
Johnny O.,5,latin,15.4,47,2011.0,0.666,0.588,0.58,0.045,0.175,0.086,0.048,拉丁
Rahsaan Patterson,7,r&b,15.143,43,1999.0,0.709,0.544,0.622,0.191,0.0,0.116,0.067,R&B
Pegboard Nerds,6,edm,14.833,50,2015.5,0.563,0.957,0.325,0.003,0.414,0.375,0.109,电子舞曲
Guy,29,r&b,14.69,55,1990.0,0.739,0.7,0.691,0.043,0.012,0.226,0.069,R&B
Central Coast Clique,5,latin,14.4,29,2004.0,0.9,0.521,0.669,0.258,0.0,0.11,0.224,拉丁
Bushido,5,rap,14.4,22,2017.0,0.773,0.72,0.453,0.135,0.0,0.122,0.226,说唱
Jamiroquai,5,r&b,14.4,45,1999.0,0.669,0.59,0.641,0.299,0.23,0.123,0.101,R&B
Stan Kolev,5,edm,14.4,31,2018.0,0.73,0.722,0.45,0.05,0.898,0.214,0.06,电子舞曲
Mos Def,5,r&b,14.2,55,2005.0,0.624,0.611,0.561,0.144,0.0,0.238,0.343,R&B
Rob Stepwart,20,edm,14.05,17,2018.0,0.717,0.772,0.45,0.102,0.659,0.226,0.147,电子舞曲
Paul McCartney,22,rock,14.045,71,1977.5,0.472,0.46,0.548,0.362,0.015,0.21,0.033,摇滚
Bingo Players,7,edm,14.0,41,2013.0,0.717,0.884,0.494,0.016,0.268,0.288,0.063,电子舞曲
Jimmy Eat World,6,rock,13.833,48,2001.0,0.586,0.757,0.673,0.076,0.006,0.232,0.055,摇滚
Remik Gonzalez,8,rap,13.625,50,2017.0,0.788,0.649,0.855,0.166,0.0,0.248,0.254,说唱
Nazareth,5,rock,13.6,58,2010.0,0.469,0.615,0.258,0.005,0.072,0.183,0.06,摇滚
Metro Boomin,6,r&b,13.333,63,2018.0,0.759,0.472,0.343,0.368,0.006,0.15,0.23,R&B
Thin Lizzy,13,rock,13.308,74,1980.0,0.452,0.806,0.706,0.223,0.058,0.297,0.088,摇滚
Two Feet,8,pop,13.25,61,2016.5,0.717,0.413,0.251,0.378,0.28,0.132,0.118,流行
John Dahlbäck,8,edm,12.875,33,2014.0,0.594,0.814,0.207,0.049,0.029,0.215,0.046,电子舞曲
Lemaitre,6,pop,12.833,40,2014.0,0.581,0.733,0.332,0.083,0.022,0.17,0.058,流行
CAZZETTE,11,edm,12.364,50,2014.0,0.674,0.713,0.289,0.043,0.048,0.143,0.05,电子舞曲
Ms. Lauryn Hill,16,r&b,12.25,67,1998.0,0.566,0.59,0.622,0.258,0.0,0.306,0.177,R&B
The.madpix.project,5,pop,12.2,24,2015.0,0.658,0.867,0.459,0.027,0.183,0.33,0.106,流行
Pasabordo,7,latin,11.714,45,2013.0,0.732,0.827,0.773,0.344,0.0,0.19,0.117,拉丁
DJ DMD,6,rap,11.5,28,1998.0,0.808,0.69,0.669,0.011,0.0,0.285,0.208,说唱
Camel,7,rock,11.286,41,2009.0,0.359,0.53,0.503,0.41,0.757,0.144,0.037,摇滚
Riff,5,r&b,11.2,21,1991.0,0.648,0.749,0.685,0.065,0.001,0.201,0.075,R&B
Man Overboard,5,pop,11.2,16,2011.0,0.43,0.929,0.512,0.001,0.0,0.199,0.087,流行
Kendra Morris,10,r&b,11.1,32,2014.0,0.541,0.551,0.418,0.219,0.017,0.177,0.037,R&B
Ralph Tresvant,15,r&b,11.067,54,1990.0,0.723,0.769,0.692,0.126,0.112,0.14,0.059,R&B
DEAMN,7,edm,11.0,34,2017.0,0.685,0.874,0.536,0.183,0.001,0.163,0.031,电子舞曲
Sidney Samson,6,edm,10.833,42,2014.0,0.682,0.728,0.215,0.083,0.495,0.109,0.09,电子舞曲
The Deele,6,r&b,10.5,49,1993.0,0.649,0.825,0.666,0.068,0.0,0.126,0.084,R&B
Местный,6,rap,10.5,45,2018.0,0.662,0.728,0.543,0.296,0.0,0.097,0.323,说唱
In This Moment,6,rock,10.167,59,2012.0,0.493,0.948,0.439,0.007,0.0,0.162,0.09,摇滚
Aqua,5,pop,10.0,43,2009.0,0.702,0.962,0.904,0.033,0.019,0.365,0.035,流行
The Allman Brothers Band,15,rock,9.733,58,2000.0,0.457,0.657,0.72,0.416,0.142,0.31,0.042,摇滚
D-Rashid,5,latin,9.0,29,2017.0,0.734,0.85,0.64,0.032,0.403,0.239,0.104,拉丁
Lil Keke,5,rap,9.0,27,1998.0,0.784,0.657,0.76,0.029,0.001,0.196,0.256,说唱
Frank Mccomb,5,r&b,9.0,14,2000.0,0.652,0.41,0.436,0.661,0.0,0.121,0.046,R&B
Lynyrd Skynyrd,32,rock,8.688,81,2008.0,0.491,0.655,0.726,0.179,0.014,0.182,0.044,摇滚
Fat Pat,11,rap,8.455,33,2001.0,0.8,0.614,0.657,0.069,0.001,0.201,0.187,说唱
Method Man,6,rap,8.0,35,2000.0,0.704,0.657,0.479,0.123,0.001,0.238,0.283,说唱
Javiera Mena,43,pop,7.953,40,2014.0,0.616,0.704,0.573,0.185,0.085,0.165,0.034,流行
BANKS,16,pop,7.688,60,2016.0,0.54,0.526,0.365,0.294,0.002,0.184,0.114,流行
G-Unit,17,rap,7.412,67,2003.0,0.659,0.791,0.626,0.169,0.0,0.202,0.335,说唱
Harry Nilsson,5,rock,7.4,13,1971.0,0.461,0.344,0.389,0.414,0.0,0.152,0.037,摇滚
UFO,9,rock,7.222,60,2008.0,0.305,0.86,0.546,0.0,0.164,0.369,0.084,摇滚
Kool Moe Dee,5,r&b,7.2,19,1987.0,0.804,0.749,0.706,0.006,0.001,0.072,0.102,R&B
Apollo LTD,5,pop,7.0,35,2018.0,0.612,0.833,0.595,0.005,0.0,0.15,0.049,流行
Daniel Johnson,6,r&b,7.0,10,2011.0,0.536,0.589,0.449,0.37,0.0,0.191,0.136,R&B
TJR,8,edm,6.75,32,2013.0,0.798,0.908,0.36,0.002,0.332,0.149,0.085,电子舞曲
Panama Wedding,7,pop,6.571,46,2014.0,0.683,0.721,0.851,0.079,0.003,0.16,0.047,流行
Kollegah,9,rap,6.444,42,2015.0,0.579,0.783,0.381,0.15,0.0,0.118,0.283,说唱
D12,8,rap,6.375,38,2002.5,0.735,0.714,0.597,0.129,0.0,0.19,0.271,说唱
N.V.,6,latin,6.0,36,1994.0,0.712,0.682,0.511,0.033,0.001,0.101,0.047,拉丁
Genairo Nvilla,9,latin,5.889,13,2016.0,0.773,0.916,0.323,0.012,0.678,0.084,0.095,拉丁
Adrianne Archie,7,r&b,5.571,10,2006.0,0.637,0.67,0.619,0.174,0.008,0.154,0.193,R&B
Capital Kings,17,edm,5.529,49,2015.0,0.587,0.893,0.347,0.054,0.074,0.131,0.092,电子舞曲
LEISURE,5,pop,5.2,10,2016.0,0.781,0.475,0.604,0.055,0.155,0.077,0.043,流行
Debra Killings,6,r&b,5.0,8,2003.0,0.514,0.526,0.545,0.222,0.0,0.213,0.182,R&B
Various Artists,8,rap,4.75,28,2015.5,0.571,0.713,0.568,0.076,0.109,0.235,0.056,说唱
DJ Screw & The Screwed Up Click,6,rap,4.333,10,2008.0,0.549,0.685,0.642,0.498,0.221,0.416,0.296,说唱
Cynthia Jones,6,r&b,4.167,9,2011.0,0.728,0.363,0.51,0.392,0.002,0.078,0.137,R&B
GAWVI,13,edm,4.154,50,2017.0,0.643,0.683,0.409,0.123,0.001,0.199,0.07,电子舞曲
All Time Low,19,pop,3.895,39,2009.0,0.488,0.833,0.553,0.059,0.0,0.208,0.06,流行
Miguel Rios,31,rock,3.548,63,2005.0,0.415,0.818,0.509,0.068,0.044,0.71,0.054,摇滚
Spencer & Hill,5,edm,3.0,7,2008.0,0.779,0.703,0.7,0.025,0.684,0.297,0.129,电子舞曲
Saliva,5,rock,2.6,7,2001.0,0.54,0.931,0.5,0.002,0.18,0.188,0.057,摇滚
Green Tea,8,r&b,0.5,1,2008.0,0.571,0.578,0.529,0.226,0.0,0.234,0.156,R&B
Jotdog,8,pop,0.125,1,2010.5,0.634,0.734,0.518,0.226,0.016,0.145,0.035,流行
New World Sound,5,edm,0.0,0,2013.0,0.669,0.881,0.17,0.004,0.661,0.098,0.062,电子舞曲
T-SQUARE,8,rock,0.0,0,2015.0,0.613,0.741,0.67,0.139,0.35,0.15,0.035,摇滚
Lisa McClendon,11,r&b,0.0,0,2003.0,0.664,0.44,0.491,0.344,0.0,0.26,0.102,R&B
LemKuuja,8,r&b,0.0,0,2018.0,0.75,0.761,0.636,0.04,0.133,0.333,0.242,R&B
CASIOPEA,20,rock,0.0,0,2010.0,0.632,0.59,0.622,0.362,0.778,0.169,0.041,摇滚
Ballin Entertainment,42,latin,0.0,0,2008.0,0.691,0.719,0.761,0.048,0.057,0.175,0.077,拉丁
Hanybal,5,rap,0.0,0,2016.0,0.673,0.784,0.625,0.09,0.0,0.138,0.3,说唱
Jamie Jones,7,r&b,0.0,0,2005.0,0.739,0.527,0.688,0.374,0.0,0.164,0.147,R&B
Portavoz,5,latin,0.0,0,2016.0,0.754,0.617,0.811,0.198,0.0,0.19,0.345,拉丁
