歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
Lucy Pearl,5,r&b,28.2,52,2000.0,0.791,0.556,0.764,0.103,0.001,0.239,0.133,R&B
Mura Masa,5,r&b,28.2,64,2016.0,0.74,0.581,0.569,0.338,0.007,0.155,0.131,R&B
BONES,21,rap,28.19,58,2018.0,0.673,0.479,0.194,0.212,0.104,0.152,0.088,说唱
Plan B,15,latin,28.0,71,2011.0,0.847,0.811,0.714,0.149,0.0,0.225,0.085,拉丁
C-Murder,5,rap,28.0,38,1998.0,0.712,0.643,0.552,0.118,0.0,0.103,0.308,说唱
Minty Burns,6,r&b,28.0,39,2018.5,0.787,0.602,0.364,0.181,0.0,0.184,0.143,R&B
T.K. Soul,7,rap,28.0,38,2012.0,0.748,0.517,0.699,0.145,0.0,0.091,0.075,说唱
Funk Machine,5,edm,28.0,42,2019.0,0.611,0.832,0.302,0.017,0.005,0.132,0.094,电子舞曲
Robin Thicke,10,r&b,27.9,76,2009.5,0.758,0.492,0.657,0.34,0.004,0.13,0.08,R&B
Motörhead,9,rock,27.889,74,2007.0,0.354,0.923,0.285,0.006,0.106,0.119,0.113,摇滚
Paperwhite,8,pop,27.875,43,2016.0,0.572,0.804,0.495,0.024,0.024,0.15,0.042,流行
The Smashing Pumpkins,6,rock,27.833,74,1995.0,0.552,0.763,0.652,0.009,0.675,0.132,0.033,摇滚
Caravan Palace,6,edm,27.833,51,2016.0,0.786,0.934,0.728,0.299,0.003,0.106,0.135,电子舞曲
The Whispers,5,r&b,27.8,53,1990.0,0.63,0.648,0.73,0.043,0.001,0.088,0.056,R&B
Love Canon,5,r&b,27.8,37,2012.0,0.623,0.66,0.602,0.495,0.003,0.155,0.033,R&B
Brasstracks,17,r&b,27.706,48,2016.0,0.638,0.717,0.524,0.092,0.286,0.291,0.157,R&B
Karyn White,9,r&b,27.667,54,1991.0,0.659,0.752,0.758,0.277,0.0,0.108,0.042,R&B
Laidback Luke,15,edm,27.667,63,2015.0,0.668,0.843,0.441,0.047,0.381,0.317,0.086,电子舞曲
Pete Kingsman,6,edm,27.667,38,2018.0,0.596,0.823,0.476,0.085,0.0,0.154,0.043,电子舞曲
